"File","Lines","Extension"
"kernel\gui\src\textedit.c","411",".c"
"kernel\gui\src\thispc.c","296",".c"
"kernel\gui\src\wallpaper_data.c","115204",".c"
"kernel\gui\src\widget.c","277",".c"
"kernel\gui\src\window.c","376",".c"
"kernel\gui\src\window_manager.c","796",".c"
"kernel\include\checksum.h","14",".h"
"kernel\include\fs.h","31",".h"
"kernel\include\gpu.h","43",".h"
"kernel\include\pci.h","19",".h"
"kernel\include\process.h","39",".h"
"kernel\include\slab.h","6",".h"
"kernel\include\spinlock.h","6",".h"
"kernel\kernel\bpf.h","203",".h"
"kernel\kernel\cgroup.c","347",".c"
"kernel\kernel\cgroup.h","131",".h"
"kernel\kernel\devtmpfs.c","116",".c"
"kernel\kernel\devtmpfs.h","37",".h"
"kernel\kernel\drivers.c","51",".c"
"kernel\kernel\drivers.h","18",".h"
"kernel\kernel\epoll.c","399",".c"
"kernel\kernel\epoll.h","80",".h"
"kernel\kernel\fifo.c","241",".c"
"kernel\kernel\fifo.h","42",".h"
"kernel\kernel\fs.h","19",".h"
"kernel\kernel\ftrace.h","132",".h"
"kernel\kernel\gdb_stub.c","371",".c"
"kernel\kernel\gdb_stub.h","24",".h"
"kernel\kernel\gpu.c","100",".c"
"kernel\kernel\include\cgroup.h","186",".h"
"kernel\kernel\include\namespace.h","205",".h"
"kernel\kernel\interrupt.c","98",".c"
"kernel\kernel\interrupt.h","17",".h"
"kernel\kernel\ipc.c","743",".c"
"kernel\kernel\ipc.h","121",".h"
"kernel\kernel\kernel.c","378",".c"
"kernel\kernel\kthread.c","141",".c"
"kernel\kernel\kthread.h","46",".h"
"kernel\kernel\memory.h","38",".h"
"kernel\kernel\module.c","577",".c"
"kernel\kernel\module.h","107",".h"
"kernel\kernel\namespace.c","579",".c"
"kernel\kernel\namespace.h","117",".h"
"kernel\kernel\printk.c","326",".c"
"kernel\kernel\process.c","341",".c"
"kernel\kernel\process.h","42",".h"
"kernel\kernel\rcu.c","211",".c"
"kernel\kernel\rcu.h","101",".h"
"kernel\kernel\selinux.h","145",".h"
"kernel\kernel\shell_enhanced.c","581",".c"
"kernel\kernel\signal.c","385",".c"
"kernel\kernel\signal.h","131",".h"
"kernel\kernel\stacktrace.c","316",".c"
"kernel\kernel\sync.c","498",".c"
"kernel\kernel\sync.h","81",".h"
"kernel\kernel\syscall.c","56",".c"
"kernel\kernel\syscall.h","18",".h"
"kernel\kernel\sysfs.c","154",".c"
"kernel\kernel\sysfs.h","43",".h"
"kernel\kernel\timer.c","347",".c"
"kernel\kernel\timer.h","79",".h"
"kernel\kernel\unixsock.c","689",".c"
"kernel\kernel\unixsock.h","98",".h"
"kernel\kernel\wait.c","167",".c"
"kernel\kernel\wait.h","35",".h"
"kernel\kernel\workqueue.c","295",".c"
"kernel\kernel\workqueue.h","97",".h"
"kernel\lib\libc\errno.c","10",".c"
"kernel\lib\libc\errno.h","41",".h"
"kernel\lib\libc\include\memory.h","12",".h"
"kernel\lib\libc\include\stdarg.h","10",".h"
"kernel\lib\libc\include\stdbool.h","9",".h"
"kernel\lib\libc\include\stddef.h","11",".h"
"kernel\lib\libc\include\stdio.h","15",".h"
"kernel\lib\libc\include\stdlib.h","20",".h"
"kernel\lib\libc\include\string.h","23",".h"
"kernel\lib\libc\include\unistd.h","61",".h"
"kernel\lib\libc\limits.h","20",".h"
"kernel\lib\libc\math.c","252",".c"
"kernel\lib\libc\math.h","26",".h"
"kernel\lib\libc\memory.h","12",".h"
"kernel\lib\libc\setjmp.c","10",".c"
"kernel\lib\libc\setjmp.h","18",".h"
"kernel\lib\libc\signal.c","77",".c"
"kernel\lib\libc\signal.h","39",".h"
"kernel\lib\libc\stdarg.h","10",".h"
"kernel\lib\libc\stdbool.h","9",".h"
"kernel\lib\libc\stddef.h","12",".h"
"kernel\lib\libc\stdio.c","59",".c"
